Class	Average Difficulty	Additional Comments	Difficulty	Date
		First half of the class was extremely easy. The other half is way hard and requires studying to do decent on the final.	7	6/17/2018
		Basically a complete copy of Math031 content with the addition of MATLAB. Lecture essentially optional if you took Math031 already.	4	6/19/2018
		I took the class with Lindsey. First half is easy. Second half is harder, but it shouldn't too bad if you study seriously. For my quarter, the final was composed entirely of questions from the final review. The professor probably won't be doing that again but it might still be similar at least.	4	12/15/2018
		timothy lindsey. Honestly, don't even go to class. It's a waste of time. It's essentially a repeat of math31 with matlab. I took this last quarter senior year and like the prerequisites are cs10 and math 9a. Super easy. Terrible professor.	2	6/22/2019
		Ran Cheng is the shittiest prof I have ever had the displeasure of having at UCR. Extremely condescending towards question-asking and constantly glosses material.	7	5/27/2020
		Ran Cheng wasn't the best prof. Strongly suggest watching Youtube videos for help. Absolutely read the textbook. If you get and stay ahead of the class by one week, you'll be doing yourself a major favor.	8	10/8/2020
		I had Ceren Sevinc.  She is pretty nice and will give retakes on midterms. EE 020 is basically linear algebra and in the discussion you learn how to use MATLAB. The professor kinda just read off the slides and her internet quality was kinda bad so you couldn't really hear her. But the class as a whole is fairly easy. Just make sure to do your homework to get a good understanding. A lot of the questions on your homework are harder than the ones on the midterm and final. She gives out study guides in the same format as the midterm and finals. You use zybooks to learn MATLAB which is really good program if you've taken cs010A before. She also recorded all the lectures and uploads all the slides	6	12/14/2020
		Ran Cheng isn't that great of a professor and the examinations are pretty difficult. The homeworks are from the textbook which is manageable but YouTube videos are one of your best friends if you don't understand a concept.	7	5/22/2021
		"Ran Cheng has been the worst professor by far during my stay here. I consider myself a fast notetaker, but he goes over his slides in lectures too damn fast, to the point where no one is able to copy anything on the slides. He's more focused on getting through the slides to not ""fall behind"" on the material, rather than actually making sure his students understand the very concepts he's trying to teach. He doesn't answer chat questions, only hand raising (so rip if you don't have access to a microphone). He also only exclusively tests on proofs for his midterms and finals, which is not fun at all (our class average was around 40% for the midterm). In all complete honesty, I learned more from the 5 minute videos on YouTube than from his own lectures. Don't get me wrong, he seems like a nice dude, but, he DOES NOT know how to teach for his life. Avoid him at all costs."	8	6/8/2021
EE020B	4.00	Had Timothy Lindsey for Winter 2022. Really nice prof but extremely unorganized. The only thing most of my class knew how to do was Gaussian Elimination. Everything after that was really iffy. Only went to like 3 lectures but managed to get an A-. Apparently he's only failed like 1 person in the decade or so he's been teaching. Homework was optional (but he would look at it and determine if you were putting effort into the class if you needed a grade boost at the end) and there was a project where we literally just had to change the values of the graphs he already made. He emphasizes inclusivity for color blind people with all of his notes andd tells us to do the same in our project. Talks a lot about random stuff and is pretty chill.	4	4/20/2023
EE030A	7.50	Try to avoid Mihrimah Ozkan. I took this class with her and the average midterm score was 25%, with only 5 out of 110 students getting a passing score of over 70%. Her slides are a direct copy and paste from the textbook, and she reads off the slides like a high schooler giving a presentation. Offers little to no valuable teachings about how to solve a given problem. Claims to also have 21 years of experience but my classmates and I cannot find her on ratemyprof, and one of the ECE professors I am doing research with says they have never heard of Ozkan before. Questionable reliability. 	8	11/7/2022
		"I took it with Ozkan, Fall 2022. First half of quarter is where most people drop out because of network theorems, just get through it and try not to get discouraged. However, after midterm 1 the content is fine. Our prof wasn't good at teaching so i stopped going to class after week 2, looked at slides and wrote my own notes, and I was fine in the class, aka A+ final grade. 

Midterm 1 Avg: 25/100 and Midterm 2 Avg: 85/100. Midterm 1 was so bad that the prof was shocked at our scores and decided to drop it from the grading. Midterm 2 and Final were chill cause the prof felt sorry for midterm 1 lol. Also our score for the final didn't come out, final grades were just posted to transcript. For midterms/final just really understand ALL the steps being done in each prob on hw thats covered.  I would rate the class a solid 7, cause the network theorems was a 8 and everything else was a 6."	7	12/22/2022
EE100A	5.60	Although challenging, it's definitely easier the first few EE courses. Understand BJTs and MOSFETs thoroughly. You'll be using the same equations all throughout the class, but knowing when to apply them is when it gets tricky. Took with Ming Liu (Spring 2021), and it was a somewhat enjoyable experience. He's a good prof.	7	6/9/2021
		90% of the class is about various kinds of transistors. There's only like ~10 equations you need to know in order to solve most problems as long as you know how to apply them. Ming Liu's tests were harder than anticipated but he grades very generously. 	5	6/16/2021
		Took with Ming Liu Winter 2021. It's easier than the lower division EE courses in my opinion. It's just about transistors the whole time, BJTs and MOSFETs aren't the same thing but after learning the formulas they might as well be. Prof. Liu is pretty nice too, always stops to answer questions even if it's week 9 and you should have learned the answer in EE1A. He knows class isn't the most interesting thing so it's nice that he was pretty laidback and cracked jokes or shared some interesting news.	5	11/7/2021
		Took this class during Spring 2022 with Ming Liu, as the others said, it is a pretty laid back class. Practice midterms helped a lot, make sure to study those. Doing the labs was the hardest part of this class, they usually take up the whole lab time. 	5	6/15/2022
EE100B	6.00	Took with Roman Chomko Summer A 2020. He expects a lot from you, but never to the point that it's too much. The first week was a recap of all the prerequisite stuff you should know already partially because you might have forgotten and partially because he genuinely seems to think that the other EE professors' teaching is insufficient. The circuits you study and have to build in lab are pretty interesting.	7	11/7/2021
		This class is one of the more important ones you will take as an EE student. It covers circuits that you will actually deal with in your job as opposed to the watered down stuff from earlier courses. They look complicated but most of the time you can solve them as long as you have the right formulas. Ming Liu is a really forgiving grader and gives a lot of partial credit so make sure to attempt every problem on exams.  	5	3/17/2022
EE105	7.67	"A wholly miserable time. Skip out on lecture and you're pretty screwed, unless you take to reading the book. Exams aren't especially hard, but they're a serious time crunch, moreso than any other class in the major. There has yet to be someone who has turned in an exam early. Moreover, Jay's strict homework policy combined with his ingenious idea of MULTIPLYING quiz grades with their respective homeworks is a recipe for trouble. Even if you get a 100% on the homework, if you mess up a quiz and get, say, a 50% on it, you get a 50% overall on both the homework and the quiz. On the other hand, if you miss a homework and ace a quiz, you still get a 0 on both. 0 times 100 is still 0, unfortunately.

Labs are absolutely terrible. Not much I can do to help you there. Have fun.

Also, there is absolutely NO CURVE in the class. What you see is what you get. "	9	3/1/2019
		Do lab assignments ahead of time and carefully study the hw.	7	3/24/2019
		The homework and labs are difficult which gives a great opportunity to reach out to Jay and the TAs for help - they are willing and available to help you. Going to lecture is pretty important because that's when he goes through all the key examples. His lecture notes are an incredible resource. If you like to skip class and put in the bare minimum, you probably wont enjoy or do well in this course. If you ask questions and put in the effort to learn then you will be successful. 	7	12/21/2020
EE110A	4.50	Had Prof Shaolei Ren in 2019. Material is not that dense but it is critical for EE 110B. He curved individual exams heavy and allowed cheat sheets.	4	3/5/2020
		Had it with Professor Shaolei Ren in 2022, the grading style is very gentle, and professor likes to work through examples in class. The content was a bit abstract to me, but I believe the workload is light.	5	12/11/2022
EE110B	7.00	This class is basically a deeper dive into the content from EE110A focusing on concepts that come up in signal processing. It's super abstract with relatively little explicit discussion of actual circuits so if you're more of a physical thinker you may have a tougher time. Prof. Hua lectures by just writing shit on the board for 50 mins so his lectures were pretty sparsely attended. 	7	3/17/2022
EE111	5.00	Took with Sheldon, two midterms and final. Midterms were easy, but very hard final. Look at the lecture slides and use the lecture recordings. Labs were annoying to do, but the TA helps.	5	4/6/2023
EE114	5.00	Basically just a statistics class cosplaying as an EE class. It's mostly straight math. First half is super easy basic probability but it ramps up in the second half. Overall not that bad if you get the concepts. 	5	3/17/2022
EE115	8.00	Took with Matt Vaezi Summer A 2021. Vaezi is a passionate educator, but I get the feeling he is not formally trained. He is pretty unorganized and he showed up for lecture in-between meetings. He literally goes to work at his main job and lectures when he has time to take a break. It was hard to connect the high-level concepts in lecture and the math heavy homework. Everyone bombed the midterm so he made the final have as little math as possible. Labs were pretty informative though. 	8	11/7/2021
EE116	8.00	"The grading is so strict and you can seldom get the score if you made any mistakes in the tests. Whats more when you solved the questions by the steps according to the step learned from class, it failed. 
And for now the final score have been posted but the quiz and homeworks' score still unavailable.
All course material are handwritten papers and no more examples for the problems. 
If you really care your GPA i don't suggest it. "	10	12/22/2020
		The grading is strict but there will have curve and what you get will be pretty much better than what you see. 	6	12/31/2020
EE120A	4.50	First half of the course is essentially CS061 material, while second half gets slightly rough due to HLSM, etc.	7	3/29/2017
		If you did well in CS061, you'll probably do fine here. The labs can be very unfun, but still better than CS061 labs.	3	3/8/2018
		The first half of the course is essentially a repeat of CS61. The second half though gets more difficult with RTL and HLSM. We were allowed a cheat sheet for the midterm and final. The labs are written in Verilog, which honestly was the toughest part of the class. Verilog is no fun and they throw it at you expecting to know a lot right off the bat. Luckily the TA for our labs provided code for us to use. Homework was taken from the textbook. It starts off easy but midway through starts to slog. Make sure to pay attention or the final won't make sense!	7	3/23/2018
		Labs are tedious but doable. Midterm is pretty similar to hw. However, the final was the hardest cause the grader was not liberal in terms of partial credit.	6	5/25/2018
		Took this with Qi Zhu. Class is extremely easy, basically just copy and paste CS61 content for the first half. In the latter half, the class is a little harder but that's only because there are more steps to get the right answer. But the steps are very straightforward and if you memorize them you can kind of figure out the answer through pure logic(e.g. how a soda vending machine should work using a finite state machine).	5	6/19/2018
		"Almost entirely a repeat of cs061 in lecture
lab was boring and unrelated but not very difficult
one of the easiest classes ive ever taken"	1	8/24/2018
		Took it with Kelly Downey, Fall 2018. Material in the first half is the easy cs61 material(gates, adders, state machines, etc.) and the last half is RTL and hlsm which is kinda rough. She allowed us to use our notes during the midterm and final. Overall the homeworks weren't that difficult, just tedious sometimes. Labs can be rough in the beginning, but once you get used to the program you have to use, the labs should only give you trouble with writing the programs in verilog. That being said always ask for help when you don't know how to do something in verilog. My TA and lab mates were a great help and made the labs super short(30-45 mins) towards the end of the quarter. I also had to do a final project with a partner during the last 2 weeks, which wasn't that bad. You have 3 projects to chose from. 	4	2/21/2019
		Took with Downey. This class is easy, just take the time to learn Verilog in the beginning or else the labs and your mini-project are going to be extremely annoying. The lab manuals are outdated and rather unhelpful sometimes, but it may change. Your TAs are most likely not going to know Verilog - they're just there to grade. Midterm and final were open notes. 	5	3/20/2019
		Literally CS061 but with the actual hardware.	1	4/22/2019
		The labs are INFURIATING, but the class itself is pretty easy. The first half is CS61 review so the midterm was insanely easy. The second midterm you should really get RTL and FSMs down, but other than that it's not so bad!	5	3/20/2020
		I had a good partner for the labs, vague but grading is pretty chill, final project was stressful but as long as you put in effort and know what things do youll be fine	4	12/22/2020
		Took with Sheriff Sadiqbatcha in Winter 2020, the midterms and final were very similar to the practice exams, so make sure you understand those. Labs were in Verilog, not terribly difficult but TAs can help with explaining. Highly recommend attending TA office hours if you have questions regarding labs as the lab manuals are not very helpful. Overall the class was not very difficult but may be different in-person as I took it remotely.	4	3/15/2021
		With Sheriff, really easy class. The weighting of the course was more focused on homework and lab rather than exam, due to COVID. If you put in the time you will get a good grade	4	3/19/2021
		The class was very easy until week 8 (Chapter 5). RTL design gets people. But the first 3-4 weeks are a repeat of CS061. Sheriff is a great instructor, and overall, you won't have too much of a hard time in the class.	6	3/19/2021
		This class was very easy imo. Most of the quarter was just review from CS061. The labs all amount to copy-pasting some provided Verilog code and making minor changes. My lecture section was asynchronous. I would recommend not falling behind because while the content isn't the most difficult, it's painful to try to catch up. The homework assignments are pretty tedious and fairly long, but except for the last one, they aren't too difficult.	4	3/21/2021
		Only hard part about the class was the final mini project because Verilog is quite confusing. Take with Sheriff and you'll be good to go. Study practice midterms he gives you. HW can be very long so start early.	3	3/25/2021
		Sheriff was super flexible with everything. Midterms and finals were based off homework and he even provided practice exams! They pretty much gave the code for the labs in the manual, however the final project can be tough if you don't understand what the labs. You can do well by just watching the office hour lectures where he reviews the practice exams.	3	3/29/2021
		I do not recommend taking this class with Matt Vaezi, I believe it is his first year teaching at UCR as of writing this and I personally do not like his teaching style at all. He makes up his own slides which aren't great either and his homework assignments are the most confusing things ever. The labs are a huge pain as well since the TA (Amir Kavousi) requires an entire list of requirements in the lab reports and gets angry pretty easily. 	7	5/22/2021
		Our entire grade for this class came from 2 assignments, 1 midterm, 1 final, and all the labs/final project. Most of the content is a repeat of CS061, just more in-depth. If you did well in CS061 then 120A will be a breeze, if not then it might be a little challenging for you. 	3	6/16/2021
		Took this class in spring 2021 with Matt Vaezi as the professor and Amir Kavousi as the TA. This course was a horrible experience as neither of them put any preparation towards instructing the class and expected us to figure stuff out on our own with assignments and labs. Also couldnt even stick to their own syllabus as they said there would be 4 assignments throughout the quarter and the professor only assigned 2. Very little if any communication with emails and questions. Avoid instructor if possible	9	6/16/2021
		Basically a repeat of the CS061 concepts, but with easier labs (no LC3). Minimal homework. Exams are easy and basically the same as the homework.	1	11/12/2021
EE120B	7.04	Took with Phillip Brisk. Not as bad as 120A. The labs are done in C not Verilog which was a big relief for pretty much everyone lol. I'd recommend taking with Brisk to avoid getting Jeff'd, which at this point has become a meme. Tests and Midterms/Final were as expected, nothing that was not taught in class. Homework is done on zybooks. The custom lab project at the end of the year can be challenging, depending on how in depth you go. Labs aren't too bad. You can do it with a partner which makes things easier. You must pass (60%) the lab portion and the lecture section to pass the class. Must also pass the final exam and the custom lab project to pass as well. All said and done not too bad of a class. 	6	6/15/2018
		Really easy class, took it with Jeffrey McDaniel. All the difficulty lies in the custom project near the end of the quarter(week 7 or 8 I don't remember). The custom project took on average (anecdotally) 35-40 hours over a weekend to finish. The lecture is all Finite State Machines. Once you get comfortable with tinkering with the hardware(it will take you maybe a lab or two if you have no prior experience), it will be a simple class. The start is the hardest for this class but by mid-quarter you will probably also agree that it's relatively simple.	7	6/19/2018
		My favorite class ever... pick something you are actually interested in for your final project and try to just have fun with the class. If you are comfortable with FSMs and HLSMs then it should be a breeze	5	8/24/2018
		"I took this over the summer with Jeff. It was moderately difficult but that's mainly because of the pacing and I was usually too tired to study for the weekly quizzes/exams. Not sure if he's just more lenient over the summer or if Skate Club finally stopped the Jeffing. Most of the tests were basically drawing the state machines from the given problem descriptions, so you'll be fine for the quarter if you can easily do them and keep up with the material.

Labs were mostly simple and aren't too bad if you have a decent partner. But they can be time consuming if you don't know how to debug. I can't say how the final project is during the regular quarters, but summer projects are pretty easy. If you just spent your weekend working on it, you probably could have finished it already or at least be almost done unless you somehow just didn't understand the labs at all by that point."	7	8/31/2018
		Took this class with Philip Brisk. Every lecture was straight up him going over worksheets based off the ZyBooks courses, and then ten minutes of him lecturing you about life. After the midterm, all you work on are synchronous state machines, and ... that's about it. 50% lecture. 50% lab. The labs aren't that difficult; most of them should be easy points. The final lab project, however, is something that you need to work on by yourself. As long as your project has three complexities, you should be good to go. I think Brisk is a brilliant teacher, and so if you ever have the chance to take this class with him, you're in for a wonderful time.	5	3/25/2019
		I took this class with Philip Brisk. The first midterm was very easy but the second one is harder and the final is no cakewalk.	3	3/27/2019
		I took this class with Jeffrey McDaniels and he was a great professor. He even gave students the opportunity to gain experience in the embedded systems space off campus. The material isn't too hard, but the custom project can be if you're not starting early. I would suggest start the project early, order the parts early and go to office hours as much as possible.	7	6/17/2019
		Taking with Brisk. Probably because it’s online but this is not meant to be online. There’s more work than usual and he made the labs a bit different than previous years, no partner, and exams/quizzes are a bit different than previous years. Also if you don’t like his attitude then you’re not going to like the class. It’s a hit or miss, you like him or you don’t. Personally don’t like how sassy he can be and makes me afraid to ask questions because I think he’ll just make fun of me in front of the class. But anyway, so far it’s a bit hard if you don’t keep up with all the assigned work (zybooks, in class exercises, labs, etc). Be on top of the due dates and make sure you really understand concepts or you’ll be left behind. 	7	5/8/2020
		Took this during quarantine. This class was not difficult content wise, it was the amount of busy work that made it hard. Don’t be like me and procrastinate the labs because I had to spend entire weekends trying to meet the deadlines.	7	12/30/2020
		Lecture is easy if you understand the second half of 120A, labs are especially time consuming but not difficult	4	3/19/2021
		Took with Brisk. No examinations but hits you with 2 labs a week to compensate, and little help along the way. Honestly don't know where I would be if the people in discord weren't so helpful. Be prepared to drop $220 on lab parts. Don't procrastinate on the labs, try to finish one in the beginning of the week and one before the weekend for a good schedule set up.	7	3/25/2021
		I took this in Spring 2021 with Frank Vahid. This is easily one of my favorite CS classes. It can be difficult for CS/EE majors at first, but if you're a Computer Engineer, you'll feel right at home. I recommend taking this after CS100 to get used to Github. This class is VERY VERY VERY lab-focused. Labs were 45% of the total grade, and you have 1-2 each week. No final, but there weekly quizzes that aren't worth stressing over. Most of the labs take at least 3 hours minimum, and the average is 4ish hours. If you have a good professor (like Vahid), you'll love Embedded Systems.	5	6/9/2021
		Taking this with Philip Brisk in Fall 2021. This class has easily been the most frustrating and time consuming out of all the ones I've taken as a CS major. Two labs a week + Zybook readings + two midterms + final project + final exam + two quizzes makes this class a HUGE amount of work; it feels like two classes in one. And god help you if a hardware component stops working during one of your labs and you don't know why or you encounter a hardware problem that takes hours to solve. 	9	11/22/2021
		Took this class with Brisk. If you pay attention in class and understand the in class exercises the quizzes, midterms, and final are not difficult. That being said, the labs are brutal and Brisk did not offer much help. The difficulty of labs is not bad but they take so much work. After eleven labs the final project comes around to kick you when you are already down. Furthermore, Brisk does not respond to students, after the pandemic and difficult year everyone had you would think people gained an ounce or more of empathy for others - not Brisk. 	10	12/10/2021
		Avoid Brisk Avoid Brisk Avoid Brisk Avoid Brisk Avoid Brisk	9	12/10/2021
		Keep the momentum up in the class, it will help with your grade. Don't expect help from Brisk.	6	12/10/2021
		"Took it with Brisk. Take it with Vahid instead. Brisk isn’t bad, but he’s not good either. He doesn’t teach, all he does is provided a lot of in class exercises and solutions. Class content focuses on designing state-machines. The exams are very similar to the in-class exercises.
Lab is probably the hardest part about this class. 2 labs per week which take a good amount of time. Be prepared to work with hardware, write low-level C, spend hours debugging issues in your code or hardware. 3 week project is fun if you choose something you’ve passionate about."	7	12/10/2021
		There is no way to avoid the particular professor or TA as it is all about the instructor and how he/she presents the material (if at all). This class with Professor Brisk and his TA Mr. Meyer, was beyond difficult. Instructions, HW and labs, gradings, exams were absolutely awful. I feel very sorry as a student that had to go through such experience.	10	12/10/2021
		TAKE IT WITH VAHID, AVOID BRISK IF U CAN	7	12/11/2021
		Took this with Brisk. Would avoid if possible. The final project is what you need to focus on, it takes 3 weeks and is quite a lot of coding. TA's were unhelpful this quarter. There are 2 labs assigned per week, each designed to take 3 hours. However, they take longer than 3 hours usually per lab. Additionally, there is no dedicated lab session so you have to spend your own time on the labs. The exams are fair but wouldn't recommend taking with Brisk either way. Basically, the exams and in classes exercises and lectures aren't bad, but the final project with the 2 weekly labs are easily the worst part of the class. Adding that on with an unhelpful TA overall gives a bad experience. 	8	12/22/2021
		DO NOT TAKE IT WITH BRISK (winter 2022) !!! he is literally the most arrogant, unhelpful professor ever. he doesn't even teach, just made us do practice problems every lecture and would rush through the solutions at the end for useless participation points. the labs are so complicated and they changed it up this quarter so it is done in arduino instead of C, which is the language the lecture is taught in. the exams are extremely difficult and he does not prepare you for them at all. almost no helpful feedback is given on gradescope for exams and he has this stupid policy where if u fail the final you fail the class. the content isn't too hard but this was by far the worst class at ucr i've ever had to take. somehow i landed a b.	7	3/21/2022
EE123	8.00	Took with Roman Chomko Summer B 2020. Actually pretty hard. Chomko said the class was originally supposed to be for grad students and you can tell. In the undergrad version we only went over power calculation and types of power convertors, but even these were hard to get a full understanding of. The labs were easy though, just follow directions and done. Labs definitely help your understanding of the lecture so don't get lazy with them.	8	11/7/2021
EE128	3.00	Chomko the goat. Super easy exams that are open book open note, no HW, and labs weren't too bad either. For the project you just either gotta build something that includes two of the topics discussed in class, or something from the preapproved projects.	3	12/14/2021
EE132	5.00	Beware of the final. The class, while challenging, is manageable all the way up until finals week, where you're given a True or False final which is worth 40% of your grade. I went into the final with close to a B and left with a C+. It's one of the more interesting courses you will take as an Electrical Engineering major though. 	8	4/3/2017
		Took it spring2020, very easy, love the professor since he cares about this too. Don't worry about it. Prof Wen. Although the labs were a little tough.	2	12/18/2020
EE138	6.00	Took with Professor Haberer. Her slides have a lot of information, but overall the class was fair and she is very nice! Just make a study guide of the quizzes and homework and you'll do fine on exams. Take notes though definitely.	5	2/1/2021
		Had in 2022 with Haberer. She does examples. Very info heavy slides but she posts the slides. Quiz every week with one midterm and a final. She is a very generous grader but you have to study the concepts just as much as the formulas to get a good grade. 	7	12/19/2022
EE139	5.50	With Professor Mihri Ozkan, the course didn't have a midterm or a final. The quizzes were fair. There was a final presentation and paper, the instructions were not clear at all. Her slides are just screenshots of the book so learning wasn't very easy. 	6	2/1/2021
		only had two midterms and a final presentation. The class is mostly key terms and some definition not heavy math based. the first midterm was super easy if you study the midterm review second one was free response which was a little harder	5	12/2/2022
EE141	7.00	The material is pretty hard, the professor is good in class but lecture notes are trash, however he curves hard and makes avg a B+	7	12/15/2019
EE144	8.00	I took it in Fall of 2021. This class reminded me of EE 168 in that it starts off with hardcore mathematics and branches off into other topics towards the end. This class is cross-listed with ME 144 and so it has mostly ME and EE students but it feels more like an ME and CS class than any EE class. Its still worth taking for EE majors who want to work with robots since it doesn't have the ME prerequisite that EE 145 does.	6	12/9/2021
		Being a CEN major, this was by far the hardest class I've taken especially since grad students also take this class and there were a lot of ME concepts that I was not familiar with. The grading on the HW was also super strict. However, it was a very interesting class and made me even more excited about robotics. The labs were very easy since it was mostly coding, and the exams weren't too bad if you knew what you were doing.	10	12/14/2021
EE252	2.00	Fairly easy class, and the professor was very helpful 	2	1/3/2022
EE255	3.00	Took it with Kim. Fairly straight forward but interesting content, and very cool labs where you hack the Linux kernel and add/change the existing features. If you took CS153 or CS202, the content should look very familiar.	3	4/4/2023
ENGL001A	4.68	pretty basic english class. 4 essays on various topics.	5	3/28/2017
		Just write your essays and put at least some effort into them and you'll pass fairly easily.	2	6/28/2017
		It was difficult because I hate essays	7	7/1/2017
		Easy class. Do not slack off on your assignments because every point counts in this class. Definitely go to office hours if you need help on your essays as the professor is extremely helpful and will guide you on how to improve your essay.	5	12/18/2017
		The class is more laid back and open in comparison to the remedial classes before it. Class participation is important, get to know your professor and classmates to make class better. Quizzes are only partial and not too big. Essays are a big part of the class, don't forget to complete them. Turning in work late frequently, stagnates your grade. 	5	8/24/2018
		4 Essays, if you mess up you are done basically. We got the final ahead of time and wrote it in class. Really easy	5	11/6/2018
		It consists mainly of fitting 4 very important essays in 1 quarter. Lectures and classwork usually serve to teach or relate back to the current essay. Do your best on the essays, because each one is almost a quarter of your grade. The class is also a class where C- = fail, so don't even think you can skip doing 1 essay.	4	12/11/2018
		Dr. Spaise is very hard on grammar. Go to her office hours to review your essay and you’ll get A’s on your paper. 	7	12/15/2018
		Queen is a fun class to take. Types of essay, pretty interesting starter class	6	12/15/2018
		Not a lot of reading, but a decent amount of last-minute essay writing	3	12/16/2018
		Essays were graded pretty harshly for my professor... I got the same score for all my essays give or take 1-2% so...	7	12/18/2018
		Essays make up nearly 80% of you overall grade. The final was an easy A. Took the class with Allie Arend and she provided make-ups for every single essay!	5	2/19/2019
		Had Dr. Smedley. She is very nice and friendly and encourages you to attend office hours. I find it helpful to go to her office hours. Gives helpful constructive criticisms.	7	3/7/2019
		Kim Turner. GO to office hours. And if she likes you, then you will do well. if she doesnt then try to make her like you	8	3/23/2019
		I had Dr. Spaise. Definitely go to office hours if you struggle, it was a basic English class though. Not much in class writing, but a strong focus on grammar and she assigns a few worksheets. 	5	4/3/2019
		Brittany Roberts is a great instructor. Super helpful and well-spoken. Her class is easy-going and the homework is easy too. Most of the time, the homework is to read and prepare for essays. There are a total of 4 papers, with different word counts and they are worth different amounts. Her grading is far and she provides a lot of helpful feedback. 	4	11/21/2019
		for innes, super easy. easy grader, rambles on and on in class	2	11/21/2019
		Go to office hours, its ridiculous how much easier the class will be. Had a TA rather than a prof, pretty easy A. Not a lot of busywork which was nice. Straight up: 4 essays & an in class essay final.	2	12/10/2019
		Get Sarah Buckner!! She’s such a sweetheart and she’s not a super hard grader. Understands that students have it hard so is a little easier compared to other Eng profs	2	12/10/2019
		I never really understood what English TAs look for when grading essays. The class is pretty boring and essay prompts are sort of vague and hard to write about. The class will destroy your grade if you suck at writing essays as 90% of your grade is based on those. Hope that you get an easy TA/professor to teach your class.	7	12/12/2019
		I had professor Vasquez and she was awesome. I usually hate going to English, but I actually enjoyed having her. The class has a heavy weight on essays so make sure you go to office hours and get help. Otherwise, it’s not that bad of a class	5	12/13/2019
		Had Prof. Gurnett, She really cares about helping you improve your grade. 3 essays, 1 midterm, 1 final, read 3 books. There is a specific format in which you are to write your essays, even if your essay is good it will get an F if not in that format. Pretty hard grader and participation is extremely important. Near the end of the quarter you will be allowed to revise one of your essays.	6	12/16/2019
		Jaquelyn Vasquez is an amazing teacher! She replies very fast to emails and is always super helpful during office hours! Just be sure not to procrastinate on your essays :)	3	12/18/2019
		Four essays and one final :)	4	12/20/2019
		Pretty standard English class, reading isn't necessarily too important as long as you get the main points and sound like you know what you're talking about. 	1	1/3/2020
		VanZandt is the best prof ever she is so nice and understanding and doesn't put a lot of pressure on students. 4 essays, one final based on the book she has you read. Even though she is nice she grades essays fairly hard so make sure you have good essays, those will bring you down if you aren't careful. She let us revise our lowest essay which helped me a lot so if she offers that to you don't pass on the opportunity. 	4	2/7/2020
		jones is laidback but he puts effort into teaching what exactly should be in your essay, and he is lenient on grading essays	6	3/20/2020
		I took the class with Grant Palmer, he was a super nice and chill guy. Would definitely recommend you to take his class. 	4	7/25/2020
		Took the class with Nolan Goetzinger, super helpful professor. Went to all of his office hours to have my essays looked over and his feedback is basically free points added to your essay. I believe there were four essays plus the final, so the class is pretty fast paced, about 2 weeks per essay. Don't buy the St Martins Guide since you can easily find free versions online. 	4	7/28/2020
		"Took it with Cline Fall 2020. Super nice and caring professor who helped a lot if you went to office hours (she will tell you straight up how to improve your essays). The assignments were easy and interesting. Occasionally there will be a ""pop quiz"" but sometimes she hints at it the class before, so show up to every class. Majority of your grade is essays, but they are not hard. You read a novel towards the end of the quarter which wasn't difficult either (just keep on top of the readings). Final is comprehensive of things you learned in SMG and also from the novel. Cline grades easy and is super chill. Take the class with her if you can."	4	9/5/2020
		TRY TO GET Alexander Allaport! He’s a really fun teacher and he’s very helpful and considerate when it comes to grading! 	5	11/3/2020
		Amanda Oliver is understanding, class is easy, participation is not required, gives u extension if you ask for it, attendance not required 	2	11/24/2020
		I had Terry Spaise and she’s a relatively easy professor. She’ll give you extensions if you need it. Other than that, grading is mostly based on 3 essays and the final.	3	11/25/2020
		Took the class during Fall 2020(online b/c of covid) with grad student Miranda Steege, if you can try to get her! She structured the class very well and gave really helpful feedback on essays. Her paper prompts were also very well organized and listed every point you needed to hit to at least get a B. 4 essays, so if you screw up on one it'll be hard to come back from it, however if you go to her office hours she will be really helpful in telling you everything you need to fix and improve on to get a good grade. Final was a pretty short and easy take-home reflection essay.	4	12/13/2020
		I had this class with Stamp and he gives really good feedback. We had 4 essays and a final essay (2-3 pages) that were 15%, 20%, 20%, 25%, and 15% of our grade. Ask questions about your own essay or just questions in general during class and office hours. Very helpful when providing feedback and suggestions+advice. Doesn't really say much in the comments on your essay but if you ask for feedback during office hours he will most definitely help you. I had a 65% on my second essay but ended the class with an 84.7% (B).	5	12/18/2020
		I had Dr. Terry Spaise, she is very kind and helpful, although a bit old fashioned? She focuses a lot on grammar, paragraph spacing, and commas. We had to write 4 essays, the final being a position essay. The different between an A and an A- is the grammar and paragraph spacing, so pay attention to that. She is always willing to help and answer questions, and she let us submit rough drafts, which were very helpful. Just write the essays carefully and pay attention to the details. She cares about grammar. Those who complain about this probably did not try hard enough, it is not that complicated. She's a great professor	4	12/20/2020
